TICK 1,TICK 2,TRADES #,GROWTH W ALGO %,GROWTH WO ALGO %,GROWTH DIFF,PROFIT,INITIAL BUY,COEFFICIENT
,,"=SUBTOTAL(1,C5:C130000)","=SUBTOTAL(1,D5:D130000)","=SUBTOTAL(1,E5:E130000)","=SUBTOTAL(1,F5:F130000)","=SUBTOTAL(1,G5:G130000)","=SUBTOTAL(1,H5:H130000)","=SUBTOTAL(1,I5:I130000)"


A,AAL,2,-24.371159729375886,-16.34411926324157,-8.027040466134316,-35.93283849999082,147.44000244140625,0.7909774436090224
A,AAP,2,10.276044259380395,9.305421828146327,0.9706224312340677,15.150999906910442,147.44000244140625,0.7864661654135338
A,AAPL,1,4.138829939807783,4.138829939807783,0.0,6.102290964298248,147.44000244140625,0.8887218045112781
A,ABBV,1,6.489257882579969,6.489257882579969,0.0,9.567761980505054,147.44000244140625,0.8586466165413533
A,ABC,1,2.770917259773209,2.770917259773209,0.0,4.085440475458967,147.44000244140625,0.6947368421052631
A,ABMD,2,8.16589686395481,8.16589686395481,0.0,12.039798535577688,147.44000244140625,0.8090225563909773
A,ABT,2,11.763007296542675,12.886717206365027,-1.1237099098223524,17.343378245205315,147.44000244140625,0.7593984962406014
A,ACN,3,2.9254034332791523,1.3844227105660836,1.5409807227130687,4.313214893447764,147.44000244140625,0.8842105263157894
A,ADBE,1,2.8971401656804354,2.8971401656804354,0.0,4.271543531010195,147.44000244140625,0.863157894736842
A,ADI,4,8.524709095977217,5.890316765696283,2.6343923302809342,12.56883129923159,147.44000244140625,0.9142857142857143
A,ADM,7,7.9798224992909,2.7864177905509777,5.193404708739922,11.765450487774388,147.44000244140625,0.9548872180451128
A,ADP,3,2.5072184341990043,0.513312165103055,1.9939062690959493,3.6966429205943996,147.44000244140625,0.9097744360902256
A,ADSK,6,6.720252758333036,5.488486357263355,1.231766401069681,9.908340830954899,147.44000244140625,0.9293233082706768
A,AEE,5,4.848476183167043,1.8908598036101987,2.9576163795568444,7.148593402832489,147.44000244140625,0.9071079994633899
A,AEP,3,3.2278471110577156,1.6749055347050095,1.5529415763527061,4.759137859348357,147.44000244140625,0.8917293233082706
A,AES,2,-0.7414545004772268,-2.0708133457106355,1.3293588452334086,-1.0932005336055397,147.44000244140625,0.8438093447908332
A,AFL,4,5.725797670037175,-0.09121930191050072,5.817016971947676,8.442116224492793,147.44000244140625,0.882706766917293
A,AIG,4,-6.55919077888701,-7.885788783792021,1.3265980049050112,-9.670871044527502,147.44000244140625,0.8360902255639097
A,AIZ,2,0.2367140218922383,-1.0167057324883602,1.2534197543805985,0.3490111596570671,147.44000244140625,0.8571428571428572
A,AJG,2,-3.9726974693793093,-2.7598432192405324,-1.212854250138777,-5.857345245842538,147.44000244140625,0.8917293233082706
A,AKAM,1,5.103804182217939,5.103804182217939,0.0,7.525049010866724,147.44000244140625,0.6300751879699248
A,ALB,5,10.072147768461292,1.0945874525271637,8.977560315934129,14.850374915721375,147.44000244140625,0.9263157894736842
A,ALGN,5,4.717990070918357,0.1282092699971909,4.589780800921166,6.95620467574733,147.44000244140625,0.9097744360902256
A,ALK,6,4.394889469924444,-5.672844253719215,10.06773372364366,6.479825141753707,147.44000244140625,0.7852576711772629
A,ALL,2,6.518748516136932,6.487845721409743,0.030902794727189153,9.611242971341426,147.44000244140625,0.9123731371053829
A,ALLE,5,5.2184203456403635,0.07673855628089926,5.141681789359464,7.6940390850149925,147.44000244140625,0.8857142857142858
A,ALXN,4,8.931660781534822,11.377296014055869,-2.445635232521047,13.168840874353066,147.44000244140625,0.8902255639097743
A,AMAT,2,3.832244479928954,2.6568312334026327,1.1754132465263214,5.650261354767906,147.44000244140625,0.8736842105263156
A,AMCR,1,1.4211926523363934,1.4211926523363934,0.0,2.0954064813018647,147.44000244140625,0.8469349978406109
A,AMD,4,11.54600683170363,9.771295077771493,1.774711753932138,17.023432754548764,147.44000244140625,0.801503759398496
A,AME,1,3.187161193984962,3.187161193984962,0.0,4.699150542222981,147.44000244140625,0.9082706766917292
A,AMGN,2,8.98277187073331,9.493851178614722,-0.5110793078814115,13.244199065515147,147.44000244140625,0.837593984962406
A,AMP,7,4.092725781662356,-2.01119427147952,6.103920053141875,6.03431499240304,147.44000244140625,0.9172932330827066
A,AMT,2,7.80112004738857,6.869784409563586,0.9313356378249837,11.50197158832674,147.44000244140625,0.849624060150376
A,AMZN,2,12.280817803938827,12.280817803938827,0.0,18.10683806995206,147.44000244140625,0.5684210526315789
A,ANET,1,3.0880325238970348,3.0880325238970348,0.0,4.552995228625207,147.44000244140625,0.8676691729323308
A,ANSS,4,6.448298980258075,7.13225668427113,-0.6839577040130553,9.50737217392168,147.44000244140625,0.9443609022556391
A,ANTM,1,6.419914610831166,6.419914610831166,0.0,9.465522258945668,147.44000244140625,0.7609022556390977
A,AON,1,3.666064337352396,3.666064337352396,0.0,5.405245348495896,147.44000244140625,0.863157894736842
A,AOS,1,4.094425182175079,4.094425182175079,0.0,6.036820588560488,147.44000244140625,0.7172932330827068
A,APA,6,11.997058710935876,42.07501791994875,-30.077959209012874,17.688463656300797,147.44000244140625,0.8451127819548873
A,APD,8,9.445965029785366,3.39516817146891,6.050796858316456,13.927131070529924,147.44000244140625,0.9609022556390976
A,APH,3,6.718608617607943,3.966958386039764,2.751650231568179,9.905916709829683,147.44000244140625,0.8917293233082706
A,APTV,8,12.509173889679923,5.85863907970547,6.650534809974453,18.443526288343833,147.44000244140625,0.8451127819548873
